Dest Lat,Dest Long,Source Lat,Source Lon
-2.15742,-79.8836,-34.8222,-58.5358
4.70159,-74.1469,-34.8222,-58.5358
9.07136,-79.3835,-34.8222,-58.5358
10.60119,-66.99122,-34.8222,-58.5358
18.5674,-68.3634,-34.8222,-58.5358
19.4363,-99.0721,-34.8222,-58.5358
21.0365,-86.8771,-34.8222,-58.5358
22.461,-78.3284,-34.8222,-58.5358
25.7932,-80.2906,-34.8222,-58.5358
29.9844,-95.3414,-34.8222,-58.5358
32.8968,-97.038,-34.8222,-58.5358
33.6367,-84.4281,-34.8222,-58.5358
40.47193,-3.56264,-34.8222,-58.5358
40.6398,-73.7789,-34.8222,-58.5358
41.2971,2.07846,-34.8222,-58.5358
41.80028,12.23889,-34.8222,-58.5358
49.0128,2.55,-34.8222,-58.5358
50.03333,8.57056,-34.8222,-58.5358
51.4706,-0.46194,-34.8222,-58.5358
52.3086,4.76389,-34.8222,-58.5358
-34.2508,146.067,-34.7022,146.51199
-33.9461,151.177,-34.7022,146.51199
-34.945,138.53101,-34.6053,135.88
-34.5592,-58.4156,-34.5883,-68.4039
-33.2732,-66.3564,-34.5883,-68.4039
-54.8433,-68.2958,-34.5592,-58.4156
-53.7777,-67.7494,-34.5592,-58.4156
-51.6089,-69.3126,-34.5592,-58.4156
-50.2803,-72.0531,-34.5592,-58.4156
-45.7853,-67.4655,-34.5592,-58.4156
-43.2105,-65.2703,-34.5592,-58.4156
-42.908,-71.1395,-34.5592,-58.4156
-42.7592,-65.1027,-34.5592,-58.4156
-41.1512,-71.1575,-34.5592,-58.4156
-40.8692,-63.0004,-34.5592,-58.4156
-40.0754,-71.1373,-34.5592,-58.4156
-38.949,-68.1557,-34.5592,-58.4156
-38.725,-62.1693,-34.5592,-58.4156
-37.9342,-57.5733,-34.5592,-58.4156
-36.5883,-64.2757,-34.5592,-58.4156
-34.8551,-55.0943,-34.5592,-58.4156
-34.8384,-56.0308,-34.5592,-58.4156
-34.5883,-68.4039,-34.5592,-58.4156
-33.393,-70.7858,-34.5592,-58.4156
-33.2732,-66.3564,-34.5592,-58.4156
-32.9036,-60.785,-34.5592,-58.4156
-32.8317,-68.7929,-34.5592,-58.4156
-31.7948,-60.4804,-34.5592,-58.4156
-31.7117,-60.8117,-34.5592,-58.4156
-31.5715,-68.4182,-34.5592,-58.4156
-31.3236,-64.208,-34.5592,-58.4156
-29.9944,-51.1714,-34.5592,-58.4156
-29.3816,-66.7958,-34.5592,-58.4156
-28.5956,-65.7517,-34.5592,-58.4156
-27.76556,-64.31,-34.5592,-58.4156
-27.67028,-48.5525,-34.5592,-58.4156
